Year,World_Series_Champion,League
1975,Cincinnati Reds,NL
1976,Cincinnati Reds,NL
1977,New York Yankees,AL
1978,New York Yankees,AL
1979,Pittsburgh Pirates,NL
1980,Philadelphia Phillies,NL
1981,Los Angeles Dodgers,NL
1982,St. Louis Cardinals,NL
1983,Baltimore Orioles,AL
1984,Detroit Tigers,AL
1985,Kansas City Royals,AL
1986,New York Mets,NL
1987,Minnesota Twins,AL
1988,Los Angeles Dodgers,NL
1989,Oakland Athletics,AL
1990,Cincinnati Reds,NL
1991,Minnesota Twins,AL
1992,Toronto Blue Jays,AL
1993,Toronto Blue Jays,AL
1994,No World Series,Strike
1995,Atlanta Braves,NL
1996,New York Yankees,AL
1997,Florida Marlins,NL
1998,New York Yankees,AL
1999,New York Yankees,AL
2000,New York Yankees,AL
2001,Arizona Diamondbacks,NL
2002,Anaheim Angels,AL
2003,Florida Marlins,NL
2004,Boston Red Sox,AL
2005,Chicago White Sox,AL
2006,St. Louis Cardinals,NL
2007,Boston Red Sox,AL
2008,Philadelphia Phillies,NL
2009,New York Yankees,AL
2010,San Francisco Giants,NL
2011,St. Louis Cardinals,NL
2012,San Francisco Giants,NL
2013,Boston Red Sox,AL
2014,San Francisco Giants,NL
2015,Kansas City Royals,AL
2016,Chicago Cubs,NL
2017,Houston Astros,AL
2018,Boston Red Sox,AL
2019,Washington Nationals,NL
2020,Los Angeles Dodgers,NL
2021,Atlanta Braves,NL
2022,Houston Astros,AL
2023,Texas Rangers,AL
2024,Los Angeles Dodgers,NL
2025,TBD,TBD
